id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
54334,Beau logement avec vue magnifique sur les montagne,254811,Charlotte,,Quartier 5-1,46.914,-71.19565,Entire home/apt,100,2,93,2020-08-28,0.80,1,357
138381,Bed & Breakfast La California,675584,Mary,,Sillery,46.76843,-71.26636,Private room,145,1,147,2019-12-15,1.25,3,364
198548,Fabulous view in heart of Québec,960772,Marianne,,Saint-Roch,46.81233,-71.22545,Entire home/apt,150,30,49,2020-12-21,0.43,1,346
214967,Au bord du fleuve,1110010,Julie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80286,-71.21271,Private room,83,2,162,2020-09-08,1.57,1,364
268812,Apartment Old city Quebec condo,1408583,Émilie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81023,-71.21082,Entire home/apt,40,30,77,2019-02-07,0.69,1,311
330502,Home sweet home!,1686119,Claire,,Vieux-Moulin,46.85134,-71.21403,Entire home/apt,89,3,33,2016-09-18,0.30,1,40
502417,Super location in House 1915  Walkable Old Québec,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Entire home/apt,98,2,178,2020-02-18,1.71,6,269
517628,Entire Townhouse on Historic rue Champlain,2216595,Jennifer,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80552,-71.20696,Entire home/apt,318,2,15,2020-01-01,0.81,1,27
562682,New-York experience in typical apartment P.Q,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Entire home/apt,70,90,103,2020-02-16,1.14,6,270
588889,Waterfront in Quebec City,2904660,Mariane,,Lac-Saint-Charles,46.93219,-71.38034,Entire home/apt,225,7,4,2020-08-01,0.08,2,57
652744,Vintage Artistic entire 2.5 apt  Walkable to Old Q,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Entire home/apt,65,2,121,2020-02-29,1.18,6,269
652815,Québécoise  my roomy - Québécoise la plus large,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Private room,60,90,104,2019-12-30,1.02,6,270
652950,SUPER VIEW  on the city,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Private room,68,90,86,2020-02-17,0.84,6,270
659635,Confortable TWIN BEDS with artistic walls,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Private room,68,2,90,2020-02-19,0.88,6,270
661569,Large Charming Room w/ View,675584,Mary,,Sillery,46.76978,-71.26591,Hotel room,145,1,64,2019-09-01,0.69,3,365
760018,Bohème Contemporaine w parking - Citq#301838,4005779,Marie-Christine,,Vieux-Limoilou,46.82868,-71.22634,Entire home/apt,90,3,67,2021-01-22,0.68,1,46
804419,A room downtown quebec city!,2335344,Clo,,Saint-Jean-Baptiste,46.80977,-71.22364,Private room,32,3,176,2019-12-29,1.78,2,179
878309,Large and sunny apartment,4598359,Agnes,,Sillery,46.78341,-71.25123,Entire home/apt,75,30,27,2021-01-07,0.29,2,346
878904,Charming studio,4598359,Agnes,,Sillery,46.7817,-71.25042,Entire home/apt,50,30,18,2021-01-31,0.20,2,40
896581,"Québec, maison vue sur le Fleuve",4646399,Mélody,,Cap-Rouge,46.74721,-71.35105,Private room,80,2,6,2019-07-15,0.07,2,363
916246,apt meublé vieux quebec,1562944,Patrice,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81423,-71.2087,Private room,30,31,0,,,11,0
975749,appart central avec parking 6 pers.,3704617,Atnae Et Pascal,,Saint-Sacrement,46.79359,-71.25751,Entire home/apt,75,29,49,2018-08-09,0.52,1,365
